Scintillator ,Mechanism,lightyield,dop_conc,host_band gap,av_el_diel_cons,av_ion_diel_cons,reference,av_ion_pot,ion_pot(+),ion_pot(-),Density (g/cc),av_electroneg,av.ele(+),av.ele(-),av_elec_aff,elec_aff(+),elec_aff(-),emp_rad(+),emp_rad(-),mendeleev(+),mendeleev(-)
AgGd(PO3)4:Ce,Ce3+,8000,15,0.356,,,"(S. Derenzo et al., 2011)",12.1665,9.2635,13.6181,3.98,2.953,1.559,3.123,1.2275,0.7603,1.4611,1.2346,0.6,76.4583,101
Ba2B5O9Cl:Eu,Eu2+,11000,2,5.242,,,"(S. Derenzo et al., 2011)",11.0272,7.4188,13.553,3.61,2.713,1.713,3.412,1.0852,0.2409,1.6763,1.2197,0.64,65.4514,100.8
Ba2Ca(BO3)2:Ce,Ce3+,5100,7,4.081,3.479,8.8182,"(Lin et al., 2007)",10.4442,6.6357,13.6181,4.54,2.497,1.365,3.44,0.8821,0.1874,1.4611,1.5516,0.6,43.704,101
Ba2MgSi2O7:Eu,Eu2+,10000,2,4.47,2.94,5.3133,"(S. Derenzo et al., 2011)",10.8098,6.8783,13.6181,4.1,2.582,1.381,3.44,1.0746,0.5334,1.4611,1.5976,0.6,54.232,101
Ba2P2O7:Eu,Eu2+,2500,3,5.148,,,"(S. Derenzo et al., 2011)",11.5228,7.8561,13.6181,3.958,2.751,0.899,3.162,1.0917,0.4452,1.4611,1.5705,0.6,52.06,101
Ba2Si3O8:Eu,Eu2+,35000,0.2,4.512,,,"(S. Derenzo et al., 2011)",11.0634,6.976,13.6181,3.802,2.693,1.499,3.44,1.242,0.8915,1.4611,1.5198,0.6,56.6032,101
Ba2SiO4:Eu,Eu2+,40000,0.2,4.632,,,"(S. Derenzo et al., 2011)",10.4356,6.1923,13.6181,5.23,2.493,1.231,3.44,1.0747,0.5595,1.4611,1.7996,0.6,37.672,101
Ba2YCl7:Ce,Ce3+,15000,2,4.711,,,"(S. Derenzo et al., 2011)",10.7401,5.5424,12.9676,3.491,2.512,0.999,3.16,2.5895,0.2021,3.6127,2.0293,1,17.7133,99
Ba2ZnSi2O7:Eu,Eu2+,16000,1,4.003,,,"(S. Derenzo et al., 2011)",10.9547,7.226,13.6181,4.548,2.6097,1.447,3.44,1.0579,0.4935,1.4611,1.5688,0.6,54.6693,101
Ba3(PO4)2:Eu,Eu2+,27000,1.5,5.263,,,"(S. Derenzo et al., 2011)",11.198,7.3258,13.6181,5.006,2.6603,0.895,3.19,1.0452,0.3837,1.4611,1.6873,0.6,44.436,101
Ba3B(PO4)3:Eu,Eu2+,18000,2,5.011,,,"(S. Derenzo et al., 2011)",11.5178,7.9172,13.6181,3.989,2.767,1.182,3.19,1.0782,0.4217,1.4611,1.4689,0.6,56.8914,101
Ba3Gd(BO3)3:Ce,Ce3+,370,4,,,,"(Han et al., 2007)",10.5761,6.6649,13.6181,5.3,2.559,1.427,3.44,0.9157,0.2144,1.4611,1.5377,0.6,46.7429,101
Ba3P4O13:Eu,Eu2+,25000,2.5,5.123,,,"(S. Derenzo et al., 2011)",11.7325,8.2309,13.6181,3.894,2.809,0.898,3.146,1.1192,0.4868,1.4611,1.4896,0.6,57.4714,101
BaBr1.7I0.3:Eu,Eu2+,112000,5,,,,"(Gundiah et al., 2011)",9.4845,5.2346,11.6094,,2.245,0.906,2.915,2.2597,0.1432,3.3179,2.135,1.1875,14.2,97.85
BaBr2,SA,8700,0,4.373,3.56,6.26,"(Selling et al., 2007)",9.6131,5.2117,11.8138,4.72,2.27,0.89,2.96,2.2906,0.1446,3.3636,2.15,1.15,14,98
BaBr2:Eu,Eu2+,58000,5,4.373,3.56,6.26,"(Yan et al., 2014)",9.6207,5.2346,11.8138,4.85,2.277,0.911,2.96,2.2901,0.1432,3.3636,2.135,1.15,14.2,98
BaBrCl:Eu,Eu2+,59500,5,4.484,3.14,4.3,"(Gundiah et al., 2013)
",10.0053,5.2346,12.3907,4.277,2.344,0.911,3.06,2.3732,0.1432,3.4882,2.135,1.075,14.2,98.5
BaBrI:Eu,Eu2+,97000,8,3.537,4.02,10.98,"(Bizarri et al., 2011a)",9.1711,5.2484,11.1325,4.889,2.177,0.911,2.81,2.1883,0.1423,3.2114,2.126,1.275,14.32,97.5
BaBrI:Eu,Eu2+,89000,5,3.537,4.02,10.98,"(Gundiah et al., 2011)
",9.1666,5.2346,11.1325,4.889,,,,2.1886,0.1432,0.1432,2.135,1.275,14.2,97.5
BaCl2,SA,4500,,5.612,2.87,4.54,"(Selling et al., 2007)",10.3823,5.2117,12.9676,3.394,2.403,0.89,3.16,2.4567,0.1446,3.6127,2.15,1,14,99
BaCl2:Eu,Eu2+,52000,5,5.612,2.87,4.54,"(Yan et al., 2014)",12.9676,5.2346,12.9676,3.394,2.41,0.911,3.16,2.4562,0.1432,3.6127,2.135,1,14.2,99
BaClI:Eu,Eu2+,54000,5,3.71,3.83,10.06,"(Bourret-Courchesne, 2012)",9.5512,5.2346,11.7095,4.6,2.241,0.906,2.91,2.2717,0.1432,3.3359,2.135,1.2,14.2,98
BaF2,SX,11000,,6.623,2.32,6.02,"(Knitel et al., 2000) (Sakai, 1987)",13.3524,5.2117,17.4228,4.695,2.9499,0.89,3.98,2.3157,0.1446,3.4012,2.15,0.5,14,102
BaF2:Ce,Ce3+,13000,0.2,6.623,2.32,6.02,"(Dorenbos et al., 1991)",13.3526,5.2123,17.4228,4.695,2.9502,0.891,3.98,2.316,0.1455,3.4012,2.1494,0.5,14.036,102
BaFI:Eu,Eu2+,55000,5,4.029,3.63,9.14,"(Bourret-Courchesne, 2012)",11.0362,5.2346,13.937,5.208,2.517,0.911,3.32,2.2012,0.1432,3.2302,2.135,0.95,14.2,99.5
BaGdCl5:Ce,Ce3+,35000,5,1.95,,,"(S. Derenzo et al., 2011)",10.8813,5.6655,12.9676,4.17,2.555,1.043,3.16,2.6342,0.188,3.6127,1.9675,1,20.625,99
BaHfO3:Ce,Ce3+,40000,1,3.941,4.7,39.2,"(Van Loef et al., 2007)",10.5788,6.02,13.6181,8.128,2.5002,1.091,3.44,0.9421,0.1636,1.4611,1.8485,0.6,32.09,101
BaI2:Eu,Eu2+,38000,5,3.436,4.19,7.26,"(Yan et al., 2014)",8.7124,5.2346,10.4513,4.899,2.077,0.911,2.66,2.0871,0.1432,3.0591,2.135,1.4,14.2,97
BaKPO4:Eu,Eu2+,35000,2,4.956,,,"(S. Derenzo et al., 2011)",10.6458,6.6827,13.6181,3.947,2.524,0.858,3.19,1.0338,0.464,1.4611,1.7813,0.6,38.0267,101
BaLu2F8,CV,400,,7.287,,,"(van ’t Spijker et al., 1999)",14.1314,5.3545,17.4228,6.828,3.157,0.963,3.98,2.5302,0.2074,3.4012,1.8833,0.5,18,102
BaLu2F8:Ce,Ce3+,870,,7.287,,,"(van ’t Spijker et al., 1999)",14.1316,5.3552,17.4228,6.828,3.158,0.967,3.98,2.5306,0.2089,3.4012,1.8823,0.5,17.06,102
BaMgF4,CV,1300,,6.949,2.3,23.86,"(Yanagida et al., 2010)",13.7582,6.429,17.4228,4.295,3.02,1.1,3.98,2.2249,-0.1277,3.4012,1.825,0.5,43.5,102
BaP2O6:Eu,Eu2+,1900,1,5.684,,,"(S. Derenzo et al., 2011)",11.9887,8.7299,13.6181,3.722,2.8796,0.911,3.128,1.156,0.5458,1.4611,1.3823,0.6,64.68,101
BaSi2O5:Eu,Eu,30000,2,4.792,,,"(S. Derenzo et al., 2011)",11.2018,7.1747,13.6181,3.608,2.737,1.565,3.44,1.2786,0.9743,1.4611,1.448,0.6,61.36,101
BaSiO3:Eu,Eu2+,8000,0.1,4.542,,,"(S. Derenzo et al., 2011)",10.8436,6.6819,13.6181,4.004,,,,1.1834,0.7669,1.4611,1.6249,0.6,49.502,101
BaY2F8:Ce,Ce3+,980,10,7.273,2.54,8.95,"(van ’t Spijker et al., 1999)",14.263,5.8369,17.4228,4.813,3.196,1.1067,3.98,2.5486,0.275,3.4012,1.9067,0.5,21.9333,102
Bi4Ge3O12 (BGO),Bi3+,8200,,3.562,,,"(I. Holl et al., 1988)",11.3819,7.5486,13.6181,6.825,2.88997,1.947,3.44,1.3158,1.0668,1.4611,1.45,0.6,85.7143,101
Bi4Si3O12 (BSO),Bi3+,2000,,3.988,,,,11.4218,7.6567,13.6181,6.513,2.873,1.9,3.44,1.3406,1.134,1.4611,1.3857,0.6,86.1429,101
Bi4Si3O12:Ce (BSO),Bi3+,1400,0.1,3.988,,,"(Hua et al., 2011)",11.4214,7.6557,13.6181,6.513,2.871,1.896,3.44,1.3805,1.1338,1.4611,1.3859,0.6,86.1114,101
Ca5(PO4)3F:Ce,Ce3+,3200,2.5,5.522,,,"(Zeng et al., 2006)",11.5616,7.7443,13.9107,3.096,2.706,1.001,3.239,1.1128,0.3043,1.6103,1.5009,0.5923,44,101.2
CaBPO5:Ce,Ce3+,1310,0.5,5.323,2.9,10.07,"(Pierron et al., 2003)",11.6232,8.2983,13.6181,3.05,2.808,1.521,3.232,1.0449,0.3513,1.4611,1.2168,0.6,64.0267,101
CaBr2:Eu,Eu2+,39000,8,4.745,3.13,4.52,"(Grippa, Rebrova, Gorbacheva, Pedash, Kosinov, Cherginets, Tarasov, & Tarasenko, 2013)",9.9018,6.0777,11.8138,3.227,2.308,1.004,2.96,2.253,0.0319,3.3636,1.804,1.15,16.16,98
CaF2:Eu,Eu2+,24000,,7.248,2.25,6.14,"(I. Holl et al., 1988)",13.6514,6.1087,17.4228,3.09,2.989,1.006,3.98,2.2763,0.0264,3.4012,1.8005,0.5,16.02,102
CaHfO3:Ce,Ce3+,10000,1,4.485,4.36,27.49,"(S. Derenzo et al., 2011)",10.7573,6.4662,13.6181,6.861,2.524,1.151,3.44,0.9183,0.1042,1.4611,1.6753,0.6,33.01,101
CaI2,SA,86000,,3.898,3.24,2.13,"(Hofstadter et al., 1964)",9.0052,6.11316,10.4513,3.385,2.1067,1,2.66,2.0476,0.0246,3.0591,1.8,1.4,16,97
CaI2:Eu,Eu2+,86000,5,3.898,3.24,2.13,"(Hofstadter et al., 1964)",8.9979,6.091,10.4513,3.385,2.107,1.002,2.66,2.0491,0.0292,3.0591,1.8025,1.4,16.1,97
CaI2:Tl,Tl+,42000,,3.898,3.24,2.13,"(Hofstadter et al., 1964)",9.0051,6.1129,10.4513,3.385,2.109,1.008,2.66,2.0525,0.0394,3.0591,1.801,1.4,16.62,97
CaWO4,CX,14400,,4.35,3.82,8.39,"(Mikhailik et al., 2005)",11.4082,6.9886,13.6181,5.839,2.743,1.35,3.44,1.1142,0.4205,1.4611,1.575,0.6,35.5,101
CdF2,SX,150,,3.07,2.8,6.22,"(R V Jones & J H Pollard, 1962)c",14.6131,8.9938,17.4228,6.029,3.217,1.69,3.98,2.0341,-0.7,3.4012,1.55,0.5,75,102
CdS:Te,Te2- BX,17000,,1.116,6.07,3.91,"(Schotanus et al., 1992)",9.677,8.994,10.36,4.576,2.123,1.69,2.34,0.7019,-0.6732,2.0771,1.5485,1,75.17,94
CdWO4,SA,27000,,3.244,4.83,10.31,"(Moszynski et al., 2004)",11.8883,8.4289,13.6181,7.531,2.858,1.695,3.44,0.9935,0.0582,1.4611,1.45,0.6,65,101
CeBr3,Ce3+,68000,,0.007,,,"(K. S. Shah, n.d.)",10.245,5.5387,11.8138,5.002,2.5,1.12,2.96,2.6728,0.6002,3.3636,1.85,1.15,32,98
CeBr3:Ca,Ce3+,62000,0.2,0.007,,,"(Gusek, n.d.)",10.2453,5.5399,11.8138,5.002,2.499,1.118,2.96,2.6725,0.599,3.3636,1.8499,1.15,31.968,98
CeCl3,Ce3+,46000,,0.011,,,"(E. V. D. van Loef et al., 2000)",11.1104,5.5387,12.9676,3.838,2.65,1.12,3.16,2.8596,0.6002,3.6127,1.85,1,32,99
CeF3,Ce3+,2400,,0,,,"(A. J. Wojtowicz et al., 1992)",14.4518,5.5387,17.4228,6.003,3.255,1.12,3.98,2.701,0.6002,3.4012,1.85,0.5,32,102
CeF3:Lu,Lu3+,8000,5,0,,,"(Víllora et al., 2005)",14.4504,5.5331,17.4228,6.003,3.265,1.119,3.98,2.6964,0.5821,3.4012,1.845,0.5,31.4,102
CeP5O14,Ce3+,4000,,0.575,,,"(Bimberg et al., 1975)",12.4312,9.662,13.6181,3.147,3.012,2.012,3.44,1.2394,0.7222,1.4611,1.1417,0.6,80.3333,101
Cs2BaBr4:Eu,Eu2+,25000,5,4.166,,,"(Bourret-Courchesne, 2012)",8.6111,4.3408,11.8138,4.148,2.047,0.829,2.96,2.0773,0.3621,3.3636,2.445,1.15,10.0667,98
Cs2BaCl4:Eu,Eu2+,30000,5,4.931,,,"(Bourret-Courchesne, 2012)",9.2704,12.9676,12.9676,3.59,2.161,0.829,3.16,2.2196,0.3621,3.6127,2.445,1,10.0667,99
Cs2BaI4:Eu,Eu2+,17000,7,,,,"(Bourret-Courchesne, 2012)",7.8338,4.3439,10.4513,4.5,1.876,0.831,2.66,1.9032,0.3619,3.0591,2.443,1.4,10.0933,97
Cs2HfCl6,SA,30000,,4.259,2.69,4.32,"(Lam et al., 2018)",10.2687,4.871,12.9676,3.562,2.427,0.96,3.16,2.533,0.3737,3.6127,2.25,1,22,99
Cs2LiCeBr6,Ce3+,27000,,0.445,,,"(Cheon et al., 2011)",8.9733,4.7125,11.8138,4.011,2.144,0.92,2.96,2.2343,0.5404,3.3636,2.125,1.15,15,98
Cs2LiCeCl6,Ce3+,22000,,0.476,,,"(G. Rooh, H. J. Kim, et al., 2010)",9.6656,4.7125,12.9676,3.293,2.264,0.92,3.16,2.3838,0.5404,3.6127,2.125,1,15,99
Cs2LiGdBr6:Ce,Ce3+,25000,1,,,,"(H. J. Kim et al., 2012)",9.0206,4.8308,11.8138,4.41,2.152,0.9398,2.96,2.1959,0.4443,3.3636,2.1126,1.15,13.7625,98
Cs2LiGdBr6:Ce,Ce3+,30500,10,,,,"(H. J. Kim et al., 2012)",9.0151,4.8171,11.8138,4.41,2.1512,0.938,2.96,2.1994,0.453,3.3636,2.1138,1.15,13.875,98
Cs2LiGdCl6:Ce,Ce3+,20000,10,2.782,,,"(Rooh et al., 2010)",9.7074,4.8171,12.9676,3.513,2.272,0.9398,3.16,2.3488,0.453,3.6127,2.1138,1,13.875,99
Cs2LiLaBr6:Ce (CLLB),Ce3+,60000,2,3.755,,,"(J. Glodo et al., 2011)",8.9639,4.6889,11.8138,3.941,2.1422,0.916,2.96,2.2301,0.5299,3.3636,2.1373,1.15,15.245,98
Cs2LiLaCl6:Ce (CLLC),Ce3+,35000,2,4.467,,,"(J. Glodo et al., 2011)",9.6562,4.6889,12.9676,3.243,2.262,0.915,3.16,2.3796,0.5299,3.6127,2.1373,1,15.245,99
Cs2LiLuCl6:Ce,Ce3+,7000,0.5,5.422,,,"(Bessière et al., 2006)",9.6412,4.6515,12.9676,3.744,2.252,0.89,3.16,2.3478,0.4505,3.6127,2.1001,1,12.015,99
Cs2LiYBr6:Ce,Ce3+,24700,1,4.053,,,"(Bessiere et al., 2004)",9.0273,4.8475,6.2173,3.96,2.154,0.945,2.96,2.2057,0.4689,3.3636,2.1126,1.15,13.2675,98
Cs2LiYCl6,SA,6535,0,4.962,2.87,10.21,"(Combes et al., 1999)",9.7203,4.8492,12.9676,3.178,2.274,0.945,3.16,2.3549,0.4682,3.6127,2.1125,1,13.25,99
Cs2LiYCl6:Ce (CLYC),Ce3+,12000,0.5,4.962,2.87,10.21,"(E. V. D. van Loef et al., 2005)",9.7199,4.8484,12.9676,3.178,2.264,0.92,3.16,2.355,0.4685,3.6127,2.1126,1,13.2588,99
Cs2LiYCl6:Pr,Pr3+,10000,0.2,4.962,2.87,10.21,"(E. V. D. van Loef et al., 2005)",9.7201,4.8488,12.9676,3.178,2.274,0.945,3.16,2.3548,0.4681,3.6127,2.1125,1,13.253,99
Cs2NaCeBr6,Ce3+,25000,,0.345,,,"(S. Kim et al., 2009)",8.9348,4.6164,11.8138,3.764,2.046,0.95,2.96,2.2273,0.5228,3.3636,2.2125,1.15,14.75,98
Cs2NaCeCl6,Ce3+,20000,,0.422,,,"(Rooh et al., 2009)",9.6271,4.6164,12.9676,3.106,2.156,0.95,3.16,2.3768,3.3636,3.6127,2.2125,1,14.75,99
Cs2NaGdBr6:Ce,Ce3+,36800,10,,,,"(Rooh et al., 2012a)
",8.9898,4.7539,11.8138,4.18,,,,2.1924,0.4355,3.3636,2.2013,1.15,13.625,98
Cs2NaGdBr6:Ce,Ce3+,47000,4,,,,"(Samulon et al., 2014)",8.9935,4.7631,11.8138,4.19,2.147,0.927,2.96,2.19,0.4297,3.3636,2.2005,1.15,13.55,98
Cs2NaGdCl6:Ce,Ce3+,63000,2,3.01,,,"(Samulon et al., 2014)",9.687,4.7661,12.9676,3.315,2.267,0.927,3.16,2.3387,0.4277,3.6127,2.2003,1,13.525,99
Cs2NaLaBr6:Ce,Ce3+,46000,4,3.847,,,"(Gundiah et al., 2014)",8.9385,4.6256,11.8138,3.721,2.137,0.903,2.96,2.2232,0.5126,3.3636,2.2245,1.15,14.99,98
Cs2NaLaCl6:Ce,Ce3+,26400,4,4.638,,,"(Gundiah et al., 2014)",9.6308,4.6256,12.9676,3.061,2.257,0.903,3.16,0.3727,0.5126,3.6127,2.2245,1,14.99,99
Cs2NaLuBr6:Ce,Ce3+,5800,0.5,,,,"(Birowosuto, Dorenbos, Eijk, Krämer, & Güdel, 2006)",8.9236,4.5883,11.8138,,2.127,0.878,2.96,2.1913,0.4329,3.3636,2.1876,1.15,11.765,98
Cs2NaLuCl6:Ce,Ce3+,,,5.513,,,,,,,3.548,2.247,0.878,3.16,,,,,1,,99
Cs2NaLuI6:Ce,Ce3+,,0.5,,,,,,,,,1.947,0.878,2.66,,,,,1.4,,97
Cs2NaYBr6:Ce,Ce3+,9500,0.3,4.249,3.184,0,"(Birowosuto, Dorenbos, Eijk, Krämer, & Güdel, 2006)",9.0025,4.7855,11.8138,3.732,2.149,0.932,2.96,2.1985,0.4508,3.3636,2.2,1.15,13.0035,98
Cs2ZnCl4,CV,1280,,4.541,,,"(Takahashi et al., 2020)",9.8647,5.7273,12.9676,3.159,,,,2.1134,0.1144,3.6127,2.1833,1,30.6667,99
Cs2ZrCl6,SA,25100,,3.692,2.74,8.37,"(Saeki et al., 2016)",10.2475,4.8072,12.9676,3.005,2.434,0.97,3.16,2.5614,0.4588,3.6127,2.25,1,21.6667,99
Cs3CeCl6,Ce3+,19000,,0.046,,,"(Zhuravleva et al., 2011)",9.5026,4.3051,12.9676,3.174,2.249,0.873,3.16,2.3691,0.5038,3.6127,2.4125,1,14,99
Cs3Gd2I9:Ce,Ce3+,2600,1,,,,"(Birowosuto et al., 2007)",8.4403,4.8206,10.4513,4.73,2.0501,0.952,2.66,2.1125,0.4086,3.0591,2.2802,1.4,15.62,97
Cs3GdBr6:Ce,Ce3+,48000,8,,,,"(Samulon et al., 2014)",8.8728,4.4612,11.8138,4.14,2.047,0.951,2.96,2.1931,0.4373,3.3636,2.401,1.15,12.85,98
Cs3GdCl6:Ce,Ce3+,40000,8,0.032,,,"(Samulon et al., 2014)",9.5651,4.4612,12.9676,3.013,2.156,0.951,3.16,2.3425,0.4373,3.6127,2.401,1,12.85,99
Cs3LaBr6,SA,10400,,3.784,,,"(Birowosuto et al., 2007)",8.81414,4.3147,11.8138,3.724,2.123,0.868,2.96,2.2154,0.4931,3.3636,2.425,1.15,14.25,98
Cs3LaBr6:Ce,Ce3+,5800,0.5,3.784,,,"(Birowosuto et al., 2007)",8.81412,4.3146,11.8138,3.724,2.123,0.868,2.96,2.2154,0.4932,3.3636,2.4249,1.15,14.2488,98
Cs3LaBr6:Ce,Ce3+,35000,10,3.784,,,"(H. Wei et al., 2014)",8.8138,4.3137,11.8138,3.724,2.123,0.868,2.96,2.2158,0.4942,3.3636,2.4238,1.15,14.225,98
Cs3LaBr6:Ce,Ce3+,32500,15,3.784,,,"(Gundiah et al., 2014)",8.8136,4.3132,11.8138,3.724,2.123,0.868,2.96,2.216,0.4947,3.3636,2.4231,1.15,14.2125,98
Cs3LaCl6:Ce,Ce3+,20000,20,4.583,,,"(H. Wei et al., 2014)",9.5057,4.3127,12.9676,3.16,2.243,0.869,3.16,2.3657,0.4952,3.6127,2.4225,1,14.2,99
Cs3LaCl6:Ce8%,Ce3+,16000,8,4.583,,,"(Gundiah et al., 2014)",9.5061,4.3139,12.9676,3.16,2.243,0.868,3.16,2.3652,0.494,3.6127,2.424,1,14.23,99
Cs3Lu2I9,SA,4000,,,,,"(Birowosuto et al., 2007)",8.3282,4.5067,10.4513,4.82,2.022,0.874,2.66,2.1017,0.3785,3.0591,2.26,1.4,12.8,97
Cs3Lu2I9:Ce,Ce3+,13600,2,,,,"(Birowosuto et al., 2007)",8.3285,4.5076,10.4513,4.82,2.023,0.875,2.66,2.1038,0.3814,3.0591,2.2608,1.4,12.896,97
Cs3LuI6,SA,1200,,,,,"(Birowosuto et al., 2007)",7.9815,4.2769,10.4513,4.78,1.933,0.843,2.66,1.8406,0.3785,3.0591,2.3875,1.4,11,97
Cs3LuI6:Ce,Ce3+,1400,,,,,"(Birowosuto et al., 2007)",7.9816,4.2772,10.4513,4.78,1.9331,0.8427,2.66,2.0012,0.4143,3.0591,2.3878,1.4,11.03,97
CsBa2Br5:Eu,Eu2+,91800,2,4.395,3.15,4.19,"(Borade et al., 2011)   pilania, 2019",9.1756,4.7785,11.8138,4.219,2.174,0.863,2.96,2.1972,0.2532,3.3636,2.296,1.15,12.0533,98
CsBa2I5:Eu,Eu2+,102000,4,3.81,3.65,5.03,"(Bizarri et al., 2011b)     pilania, 2019",8.3263,4.7846,10.4513,4.9,1.987,0.865,2.66,2.0068,0.2528,3.0591,2.292,1.4,12.1067,97
CsBa2I5:Eu,Eu2+,80000,5,3.81,3.65,5.03,"(Alekhin et al., 2014a)        pilania, 2019 ",8.3274,4.7877,10.4513,4.9,,,,2.0067,0.2527,3.0591,2.29,1.4,12.1333,97
CsBa2I5:In,In3+,35000,0.2,3.81,3.65,5.03,"(Gascón et al., 2014)   pilania, 2019",8.322,4.7732,10.4513,4.5,1.984,0.857,2.66,2.0072,0.2539,3.0591,2.2992,1.4,12.0867,97
CsBa2I5:Na,Na+,33500,1,3.81,3.65,5.03,"(Gascón et al., 2014)      pilania, 2019",8.3215,4.7719,10.4513,4.5,1.9838,0.8571,2.66,2.0081,0.2563,3.0591,2.2977,1.4,11.98,97
CsBa2I5:Tl,Tl+,40000,0.08,3.81,3.65,5.03,"(Gascón et al., 2014)   pilania, 2019",8.3219,4.7729,10.4513,4.5,1.98376,0.8567,2.66,2.0071,0.2537,3.0591,2.2999,1.4,12.0341,97
CsBa2I5:Yb,Yb2+,54000,1,3.81,3.65,5.03,"(Rowe et al., 2013)   pilania, 2019",8.3243,4.7794,10.4513,4.9,1.9843,0.858,2.66,2.0066,0.2525,3.0591,2.2973,1.4,12.02,97
CsBr,CV,20,,4.779,2.5,3.59,"(Shibuya et al., 2010)   ",7.8539,3.8939,11.8138,4.168,1.875,0.79,2.96,1.9176,0.4716,3.3636,2.6,1.15,8,98
CsCaBr3:Eu,Eu2+,28000,8,4.449,2.97,16.85,"(Grippa, Rebrova, Gorbacheva, Pedash, Kosinov, Cherginets, Tarasov, Tarasenko, et al., 2013)",9.0826,4.9858,11.8138,3.563,2.1343,0.8958,2.96,2.1189,0.2518,3.3636,2.202,1.15,12.08,98
CsCaCl3,CV,410,,,2.7,10.5,"(Koshimizu et al., 2014)   pilania, 2019",9.782,5.0035,12.9676,2.9,2254,0.895,3.16,2.2669,0.2481,3.6127,2.2,1,12,99
CsCaCl3:Eu,Eu2+,18000,10,5.33,2.7,10.5,"(Zhuravleva et al., 2012)   pilania, 2019",9.7731,4.9814,12.9676,3,2.255,0.8975,3.16,2.2687,0.2527,3.6127,2.2025,1,12.1,99
CsCaI3:Eu,Eu2+,38500,3,3.95,3.42,5.38,"(Zhuravleva et al., 2012)   pilania, 2019",8.2695,4.9969,10.4513,4.06,1.955,0.8975,2.66,1.935,0.2495,3.0591,2.2008,1.4,12.03,97
CsCe2Br7,Ce3+,35562,,,,,"(Wu et al., 2015)",9.7668,4.9904,11.8138,4,2.375,1.01,2.96,2.5217,0.5573,3.3636,2.1,1.15,24,98
CsCe2Cl7,Ce3+,26000,,,,,"(Zhuravleva et al., 2011)",10.5745,4.9904,12.9676,3.6,2.515,1.01,3.16,2.6961,0.5573,3.6127,2.1,1,24,99
CsGd(PO3)4:Ce,Ce3+,24400,1,3.532,,,"(Zhong et al., 2009)",11.9667,8.6641,13.6181,3.897,2.891,1.792,3.44,1.1782,0.6123,1.4611,1.4001,0.6,65.8417,101
CsGd2F7:Ce,Ce3+,7300,20,,,,"(Schaart et al., 1995)",13.7909,5.3164,17.4228,5.5,3.105,1.063,3.98,2.4859,0.3503,3.4012,2.0733,0.5,21.3333,102
CsGd2F7:Ce,Ce3+,6000,10,,,,"(P. Dorenbos et al., 1992)",13.8031,5.3571,17.4228,5.5,,,,2.4782,0.3244,3.4012,2.07,0.5,21,102
CsI,SX,16800,,4.23,2.69,3.42,,7.1726,3.8939,10.4513,4.249,1.725,0.79,2.66,1.7654,0.4716,3.0591,2,1.4,8,97
CsI:Eu,Eu2+,19100,1,4.23,2.69,3.42,"(I. Holl et al., 1988)",7.1815,3.9117,10.4513,4.249,1.727,0.794,2.66,1.7636,0.468,3.0591,2.5925,1.4,8.1,97
CsI:In,In+,27000,1,4.23,2.69,3.42,"(Gridin et al., 2014)",7.1821,3.9128,10.4513,4.249,1.725,0.79,2.66,1.7649,0.4707,3.0591,2.5895,1.4,8.71,97
CsI:Na,Na+,43080,1,4.23,2.69,3.42,"(Sakai, 1987)",7.1788,3.9064,10.4513,4.249,1.7257,0.7914,2.66,1.7657,0.4724,3.0591,2.592,1.4,8.03,97
CsI:Tl,Tl+,56000,1,4.23,2.69,3.42,"(Sakai, 1987)",7.1837,3.9161,10.4513,4.249,1.7301,0.8001,2.66,1.7646,0.4701,3.0591,2.593,1.4,8.7,97
CsLuP2O7:Ce,Ce3+,8000,0.5,5.187,,,"(Yuan et al., 2007)",11.42,7.5734,13.6181,4.378,2.7501,1.5427,3.44,1.1299,0.5504,1.4611,1.5876,0.6,52.015,101
CsSrBr3:Eu 3%,Eu2+,40000,3,4.558,2.79,5.69,"(Bourret-Courchesne, 2012)",9.0059,4.794,11.8138,3.62,2.1255,0.8738,2.96,2.1233,0.2528,3.3636,2.2978,1.15,11.545,98
CsSrBr3:Eu 5%,Eu2+,31300,5,4.558,2.79,5.69,"(Cherginets et al., 2014)",9.0058,4.7938,11.8138,3.62,2.1243,0.8706,2.96,2.1235,0.2634,3.3636,2.2963,1.15,11.575,98
CsSrCl3:Eu,Eu2+,33400,5,5.314,2.54,6.14,"(Cherginets et al., 2014)",9.6981,4.7938,12.9676,2.96,2.2443,0.8706,3.16,2.273,0.2635,3.6127,2.2963,1,11.575,99
CsSrI3:Eu ,Eu2+,65000,8,3.825,3.22,3.79,"(Yang et al., 2011)",8.1881,4.7934,10.4513,4,1.9445,0.8713,2.66,1.9412,0.2644,3.0591,2.294,1.4,11.62,97
CsY2F7:Ce,Ce3+,1400,0.5,,,,"(Schaart et al., 1995)",13.8281,5.4406,17.4228,,3.1089,1.0763,3.98,2.4906,0.3657,3.4012,2.0668,0.5,19.3567,102
CsYP2O7:Ce,Ce3+,8000,0.5,5.129,,,"(Yuan et al., 2007)",11.4916,7.7703,13.6181,3.437,2.77,1.5974,3.44,1.1368,0.5694,1.4611,1.6401,0.6,53.2588,101
