Scintillator ,Mechanism,lightyield,dop_conc,host_band gap,av_el_diel_cons,av_ion_diel_cons,reference,av_ion_pot,ion_pot(+),ion_pot(-),Density (g/cc),av_electroneg,av.ele(+),av.ele(-),av_elec_aff,elec_aff(+),elec_aff(-),emp_rad(+),emp_rad(-),mendeleev(+),mendeleev(-)
LaNbO4,SA,11000,,3.94,4.75,13.45,"(S. Derenzo et al., 2011)",11.1347,6.1679,13.6181,5.64,2.7433,1.35,3.44,1.2199,0.7375,1.4611,1.525,0.6,43,101
LaOBr:Ce,Ce3+,3000,1,3.735,4.14,9.95,"(S. Derenzo et al., 2011)",10.3361,5.5765,12.7159,5.9,,,,1.7942,0.558,2.4124,1.8995,0.875,32.99,99.5
LaOI:Ce,Ce3+,2000,2,3.281,4.47,8.29,"(S. Derenzo et al., 2011)",9.8819,5.5761,12.0347,5.532,,,,1.6929,0.558,2.2601,1.899,1,32.98,99
LaSCl:Ce,Ce3+,650,10,2.456,,,"(S. Derenzo et al., 2011)",9.6336,5.5731,11.6638,3.944,2.2807,1.102,2.87,2.0839,0.5619,2.8449,1.895,1,32.9,96.5
LaScO3:Ce,Ce3+,900,1,3.897,5.01,29.39,"(S. Derenzo et al., 2011)",10.5984,6.069,13.6181,5.67,2.556,1.23,3.44,1.0242,0.3687,1.4611,1.7498,0.6,25.995,101
Li2CaSiO4:Ce,Ce3+,7800,0.5,5.487,3.05,7.28,"(Pierron et al., 2003)",9.9397,6.2614,13.6181,2.862,2.3278,1.2152,3.44,1.0622,0.6633,1.4611,1.4501,0.6,31.27,101
Li2NaYBr6:Ce,Ce3+,12400,,,,,,9.3016,5.5333,11.8138,,2.3069,1.0273,3.16,,,,1.6251,1.15,15.0175,98
Li3TaO4,SA,30000,,4.54,,,"(S. Derenzo et al., 2011)",9.7746,5.9312,13.6181,5.701,2.275,1.11,3.44,1.0035,0.5458,1.4611,1.45,0.6,22,101
Li3YCl6:Ce,Ce3+,3305,,,,,"(Combes et al., 1999)",10.0192,5.5964,12.9676,2.45,,,,2.3845,0.5421,3.6127,1.5376,1,15.2675,99
Li6Gd(BO3)3:Ce,Ce3+,14000,1,0.131,,,"(Knitel et al., 2000)",9.7869,6.3388,13.6181,3.154,,,,0.9428,0.4764,1.4611,1.3051,0.6,35.705,101
Li6Y(BO3)3:Ce,Ce3+,1200,1,4.74,,,"(Knitel et al., 2000)",9.7904,6.3455,13.6181,2.616,,,,0.948,0.4862,1.4611,1.3051,0.6,35.507,101
LiBaF3,SX,1600,,6.572,2.67,12.11,"(Knitel et al., 1996)",12.5744,5.3017,17.4228,5.021,2.762,0.935,3.98,2.1933,0.3814,3.4012,1.8,0.5,13,102
LiCa2I5,Eu2+,90000,3,,,,"(L. Soundara-Pandian et al., 2016)",8.73,5.8612,10.4513,,2.035,0.9933,2.66,1.996,0.2243,3.0591,1.6833,1.4,14.7067,97
LiCaPO4:Ce,Ce3+,5900,0.5,5.18,2.75,7.29,"(Pierron et al., 2003)",10.923,7.3296,13.6181,2.764,2.5616,1.3904,3.44,1.0338,0.4641,1.4611,1.4168,0.6,39.36,101
LiGd(PO3)4:Ce,Ce3+,2600,10,3.471,,,"(Zhong et al., 2009)",12.0499,8.9137,13.6181,3.407,2.9011,1.8232,3.44,1.1863,0.6367,1.4611,1.2084,0.6,66.5083,101
LiGdCl4,,36000,,0.943,,,"(Y. D. Porter-Chapman et al., 2009)",10.5687,5.7708,12.9676,3.602,2.47,1.01,3.16,2.5468,0.4151,3.6127,1.625,1,19.5,99
LiGdCl4:Ce,Ce3+,64600,20,0.943,,,"(Y. D. Porter-Chapman et al., 2009)",10.5483,5.7097,12.9676,3.602,2.4673,1.082,3.16,2.5598,0.4539,3.6127,1.63,1,20,99
LiLuF4:Ce,Ce3+,3600,1,7.764,,,"(Yanagida et al., 2011)",13.4183,5.4094,17.4228,6.111,2.9835,0.9906,3.98,2.4109,0.4303,3.4012,1.6005,0.5,16.06,102
LiSr2Br5:Eu,Eu2+,32000,3,,,,"(L. Soundara-Pandian et al., 2016)",9.4811,5.5933,11.8138,,,,,2.193,0.2421,3.3636,1.8137,1.15,14.06,98
LiSr2I5,Eu2+,60000,3,,,,"(L. Soundara-Pandian et al., 2016)",8.6295,5.5933,10.4513,,,,,2.0027,0.2421,3.0591,1.8137,1,14.06,97
Lu0.8Gd1.2SiO5:Ce,Ce3+,29000,1,,,,"(Yawai et al., 2017)",10.9945,6.622,13.6181,,2.6571,1.3522,3.44,1.1435,0.6142,1.4611,1.5535,0.6,44.5,101
Lu(x)Gd(1-x)I3:Ce,Ce3+,78400,0.5,,,,"(Glodo, n.d.)",9.2842,5.7829,10.4513,5.2,2.2596,1.0584,2.66,2.3526,0.2329,3.0591,1.7765,1.4,23.67,97
Lu(x)Y(1-x)I3:Ce,Ce3+,46000,0.5,,,,"(Glodo, n.d.)",9.2924,5.8159,10.4513,,2.261,1.064,2.66,2.3647,0.2816,3.0591,1.7765,1.4,22.69,97
Lu1.8Y0.2SiO5:Ce,Ce3+,32000,10,,,,"Mao et al., 2013",11.6783,6.8289,13.6181,6.2,,,,1.1493,0.6296,1.4611,1.537,0.6,42.08,101
Lu2O3,SA,200,,4.031,,,"(Futami et al., 2013)",10.3412,5.4259,13.6181,9.495,,,,0.9722,0.2388,1.4611,1.75,0.6,20,101
Lu2S3:Ce,Ce3+,28000,0.5,2.664,6.1,9.45,"(van’t Spijker et al., 1998)    Pilania 2019",8.3866,5.4264,10.36,6.199,1.95,1.006,2.58,1.3425,0.2406,2.0771,1.7505,1,20.06,94
Lu2Si2O7:Ce (LPS),Ce3+,23000,1,4.849,3.39,6.77,"(Pauwels et al., 2000)",11.1349,6.7893,13.6181,6.158,2.7166,1.4506,3.44,1.2265,0.816,1.4611,1.4255,0.6,52.56,101
Lu2SiO5:Ce (LSO),Ce3+,30900,0.1,4.685,3.41,10.58,"(Koschan et al., n.d.)  Pilania 2019",10.8867,6.3345,13.6181,7.315,2.6377,1.3004,3.44,1.1467,0.6226,1.4611,1.5334,0.6,41.6747,101
Lu2SiO5:Ce/Ca (LSO),Ce3+,26400,10.1,4.685,3.41,10.58,"(Moszynski et al., 1997) Pilania 2019",10.8869,6.335,13.6181,7.315,2.6377,1.3004,3.44,1.1466,0.6225,1.4611,1.5334,0.6,41.672,101
Lu3Al5O12:Ce (LuAG),Ce3+,12500,0.1,5.036,3.56,13.5,"(Mares et al., 2005)  Pilania 2019",10.4812,5.7759,13.6181,6.606,2.617,1.384,3.44,1.0207,0.3602,1.4611,1.4063,0.6,57.5045,101
Lu3Al5O12:Pr,Pr3+,16900,0.2,5.036,3.56,13.5,"(Talik et al., 2017)  Pilania 2019",10.4812,5.7758,13.6181,6.606,,,,1.0206,0.36,1.4611,1.4063,0.6,57.5083,101
Lu3Al5O12:Pr,Pr3+,20000,0.1,5.036,3.56,13.5,"(Ogino et al., 2006)   Pilania 2019",10.4812,5.7758,13.6181,6.606,2.6166,1.3814,3.44,1.0207,0.36,1.4611,1.4063,0.6,57.5041,101
LuAlO3:Ce (LuAP),Ce3+,11200,0.11,5.743,4.15,18.02,"(Moszynski et al., 1997)  Pilania 2019",10.4532,5.7059,13.6181,8.216,2.587,1.308,3.44,1.0111,0.336,1.4611,1.4751,0.6,50.006,101
LuBr3:Ce,Ce3+,29000,0.02,3.096,,,"(van Loef et al., 2003)",10.2168,5.4259,11.8138,3.975,2.4627,1.001,2.96,2.5824,0.2389,3.3636,1.75,1.15,20.024,97
LuCl3:Ce,Ce3+,6700,10,3.853,,,"(van Loef et al., 2003)",11.085,5.4371,12.9676,3.103,2.6201,1.001,3.16,2.7783,0.2749,3.6127,1.76,1,21.2,99
LuF3:Ce,Ce3+,8000,,6.314,,,"(Birowosuto & Dorenbos, 2009)",14.4239,5.427,17.4228,8.3,3.2352,1.001,3.98,2.6115,0.2424,3.4012,1.751,0.5,20.12,102
LuI3:Ce,Ce3+,50000,5,2.182,,,"(K. S. Shah et al., 2003)",9.1963,5.4315,10.4513,4.348,,,,2.3585,0.2569,3.0591,1.755,1.4,20.6,97
LuI3:Ce2%,Ce3+,115000,2,2.182,,,"(Glodo et al., 2008)",9.1955,5.4281,10.4513,4.348,2.2456,1.0024,2.66,2.3558,0.246,3.0591,1.752,1.4,20.24,97
LuOBr:Ce0.5%,Ce3+,5000,0.5,4.425,,,"(S. Derenzo et al., 2011)",10.2861,5.4264,12.7159,7.26,,,,1.6884,0.2406,2.4124,1.7505,0.875,20.06,99.5
LuOI:Ce1%,Ce3+,4000,1,3.302,,,"(S. Derenzo et al., 2011)",9.8321,5.427,12.0347,7.16,,,,1.5875,0.2424,2.2601,1.751,1,20.12,99
LuScBO3:Ce1%,Ce3+,4200,1,,,,"(Yanagida et al., 2011)",10.1901,6.7622,13.6181,,,,,0.8475,0.2338,1.4611,1.4003,0.6,41.7067,101
MgSr2Si2O7:Eu,Eu2+,4000,2,4.536,2.84,5.9,"(S. Derenzo et al., 2011)",10.8887,7.0677,13.6181,3.564,2.5917,1.404,3.44,1.0595,0.4972,1.4611,1.5388,0.6,54.624,101
Na2Gd2B2O7:Ce,Ce3+,6000,2,3.061,,,"(S. Derenzo et al., 2011)",10.3443,6.5249,13.6181,5.191,2.4936,1.3895,3.44,0.9479,0.3491,1.4611,1.4837,0.6,41.3667,101
NaBaPO4:Eu,Eu2+,20000,0.5,4.172,,,"(S. Derenzo et al., 2011)",10.7589,6.9466,13.6181,3.864,2.5388,1.3372,3.44,1.0405,0.4797,1.4611,1.6495,0.6,38.34,101
NaGd(PO3)4:Ce,Ce3+,21000,10,3.45,,,"(Zhong et al., 2007)",12.0328,8.8624,13.6181,3.45,2.8982,1.8147,3.44,1.181,0.6207,1.4611,1.2675,0.6,66.4167,101
NaGd(PO3)4:Ce1%,Ce3+,11100,1,3.45,,,"(Zhong et al., 2009)",12.0359,8.8716,13.6181,3.45,2.8983,1.8149,3.44,1.1787,0.6139,1.4611,1.2668,0.6,66.3417,101
NaGdCl4,,2400,,0,,,"(Y. D. Porter-Chapman et al., 2009)",10.5266,5.6444,12.9676,3.328,2.4617,1.065,3.16,2.5351,0.38,3.6127,1.8,1,19,99
NaGdCl4:Ce,Ce3+,39400,20,0,,,"(Y. D. Porter-Chapman et al., 2009)",10.5062,5.5833,12.9676,3.328,2.459,1.057,3.16,2.5481,0.4188,3.6127,1.805,1,19.5,99
NaI:Tl,Tl+,45000,1,3.569,3.33,5.03,"(Sakai, 1987)",7.8,5.1488,10.4513,3.572,1.7994,0.9387,2.66,1.8024,0.5456,3.0591,1.801,1.4,11.67,97
NaI(pure),SX,44000,,3.569,3.33,5.03,"(Moszyński et al., 2002)",7.7952,5.1391,10.4513,3.572,,,,1.8035,0.5479,3.0591,1.8,1.4,11,97
NaLaSiO4:Ce,Ce3+,5000,5,4.458,,,"(S. Derenzo et al., 2011)",10.4769,6.2886,13.6181,4.428,2.5273,1.3103,3.44,1.1917,0.8324,1.4611,1.5992,0.6,42.9833,101
NaLuP2O7:Ce,Ce3+,6000,0.5,5.376,,,"(Yuan et al., 2007)",11.5332,7.8847,13.6181,4.01,2.7628,1.5777,2.66,1.1372,0.5704,1.4611,1.3876,0.6,52.765,101
PbCO3,Pb2+,680,,3.341,,,"(Moses, Derenzo, Levy, et al., 1991)",11.9062,9.3385,13.6181,6.272,2.934,2.175,3.44,1.2004,0.8094,1.4611,1.25,0.6,88.5,101
Rb 2 LiGdCl6:Ce,P,18500,10,2.819,,,"(Rooh et al., 2013)",9.7641,4.9587,12.9676,3.119,,,,2.3517,0.4602,1.4611,1.9888,1,14.375,99
PbFCl,Pb2+,1700,,2.761,4.52,62.87,"(Jianming Chen et al., 2004)",12.6024,7.4166,15.1952,5.4,2.98,1.8,3.57,2.4569,0.3567,3.507,1.8,0.75,82,100.5
PbI2,d-a,40000,,2.413,5.38,12.31,"(S. E. Derenzo et al., 2013)",9.4397,7.4166,10.4513,5.12,2.3733,1.8,2.66,2.1583,0.3567,3.0591,1.8,1.4,82,101
PbSO4,Pb2+,3200,,4.054,,,"(Moses, Derenzo, & Shlichta, 1991)",12.0415,8.8883,13.6181,6.002,3.0233,2.19,3.44,1.3797,1.2169,1.4611,1.4,0.6,88,101
PbWO4,CX,300,,3.656,4.7,22.62,"(Kobayashi et al., 1993)",11.6255,7.6403,13.6181,7.922,2.8767,1.75,3.44,1.1696,0.5865,1.4611,1.575,0.6,68.5,101
PbWO4:Pr,Pr3+,250,1,3.656,4.7,22.62,"(Nikl et al., 2008)",11.6222,7.6306,13.6181,7.922,2.8756,1.7467,3.44,1.1692,0.5853,1.4611,1.5753,0.6,68.245,101
PrBr3:Ce,Ce3+,21000,20,3.43,,,"(Birowosuto, Dorenbos, Eijk, Krämer, & Gudel, 2006)",10.2319,5.4861,11.8138,5.032,2.502,1.128,2.96,2.5746,0.2074,3.3636,1.85,1.15,31.2,98
PrBr3,Pr3+,16000,,3.43,,,"(Birowosuto, n.d.)",10.2286,5.473,11.8138,5.032,3.2675,1.13,3.98,2.55,0.1092,3.3636,1.85,1.15,31,98
Rb2CeBr5,Ce3+,34000,,0.32,,,"(S. Kim et al., 2009)",9.1203,4.631,11.8138,4.014,2.195,0.92,2.96,2.2988,0.524,3.3636,2.1833,1.15,16.6667,98
Rb2LiCeBr6,Ce3+,33000,,0.445,,,"(G. Rooh, H. Kim, et al., 2010)",9.0168,4.8212,11.8138,3.682,2.15,0.935,2.96,2.2371,0.5475,3.3636,2,1.15,15.5,98
Rb2LiCeCl6,Ce3+,23100,,0.476,,,"(Rooh et al., 2012b)",9.7091,4.8212,12.9676,2.897,2.27,0.935,3.16,2.3866,0.5475,3.6127,2,1,15.5,99
Rb2LiLaBr6:Ce,Ce3+,33000,1,,,,"(Birowosuto, n.d.)",9.0205,4.8306,11.8138,,2148,0.93,2.96,2.233,0.537,3.3636,2.0124,1.15,15.7475,98
Rb2LiYBr6:Ce,Ce3+,23000,0.5,4.038,,,"(Birowosuto, n.d.)",9.0843,4.99,11.8138,3.623,2.16,0.9599,2.96,2.2084,0.4757,3.3636,1.9876,1.15,13.7588,98
Rb2LiYBr6:Ce,Ce3+,16000,0.1,4.038,,,"(Birowosuto, n.d.)",9.0845,4.9907,11.8138,3.623,,,,2.2083,0.4754,3.3636,1.9875,1.15,13.7518,98
Rb 2 LiGdBr6: Ce,Ce3+,25500,5,,,,"(Rooh et al., 2016)",9.0748,4.9663,11.8138,,,,,2.2003,0.4553,3.3636,1.9881,1.15,14.3125,98
Rb2LiYI6:Ce,Ce3+,11000,0.5,3.007,,,"(Birowosuto, n.d.)",8.2667,4.99,10.4513,3.933,1.98,0.9599,2.66,2.0257,0.4757,3.0591,1.9876,1.4,13.7588,97
RbF,CV,1700,,5.652,2.06,5.23,,10.8,4.1771,17.4228,3.671,2.4,0.82,3.98,1.9436,0.4859,3.4012,2.35,0.5,9,102
RbGd2Br7:Ce,Ce3+,56000,10,,,,"(K. Shah et al., 2002)",9.9051,5.4515,11.8138,4.8,,,,2.4533,0.3292,3.3636,1.9867,1.15,21.3333,98
RbLuP2O7:Ce,Ce3+,1300,0.5,5.094,,,"(Yuan et al., 2007)",11.4458,7.6442,13.6181,4.082,2.7528,1.5502,3.44,1.1316,0.5549,1.4611,1.5251,0.6,52.265,101
RbYP2O7:Ce,Ce3+,7000,0.5,5.022,,,"(Yuan et al., 2007)",11.5173,7.8411,13.6181,3.119,2.7727,1.6049,3.44,1.1381,0.573,1.4611,1.5376,0.6,53.5088,101
